issue,id,state,labels,assignees,comments,closed_at,created_at,locked,last_update
77,22010730,closed,"[Label(name=""bug""), Label(name=""4.x"")]",[],6,2014-02-08 19:37:47,2013-11-02 22:33:00,False,2014-07-29 04:18:20
78,19582455,closed,"[Label(name=""bug"")]",[],13,2013-10-30 05:55:01,2013-09-16 22:03:25,False,2014-07-29 04:18:19
79,19088605,closed,"[Label(name=""bug"")]",[],1,2013-09-08 16:30:23,2013-09-06 05:05:37,False,2013-09-08 16:30:23
80,19083428,closed,"[Label(name=""bug""), Label(name=""needs tests"")]",[],4,2013-10-01 23:27:55,2013-09-06 00:58:50,False,2013-10-01 23:27:55
81,18086012,closed,"[Label(name=""bug"")]",[],6,2013-12-04 11:25:04,2013-08-15 00:57:15,False,2013-12-04 11:28:04
82,16551342,closed,"[Label(name=""bug""), Label(name=""needs tests"")]",[],2,2013-09-11 09:32:43,2013-07-09 22:34:10,False,2013-09-26 09:23:03
83,14774289,closed,"[Label(name=""bug"")]",[],2,2013-12-04 10:55:35,2013-05-26 19:34:25,False,2013-12-04 10:55:35
84,14675259,closed,"[Label(name=""bug"")]",[],23,2013-12-04 00:14:41,2013-05-23 13:59:00,False,2013-12-04 00:16:55
85,11873434,closed,"[Label(name=""bug"")]",[],7,2013-09-17 07:55:21,2013-03-11 11:46:32,False,2013-09-18 08:03:13
86,4920642,closed,"[Label(name=""bug"")]",[],4,2012-06-22 15:21:00,2012-06-06 00:14:52,False,2012-06-22 15:21:00
87,2696790,closed,"[Label(name=""bug"")]",[],4,2012-01-02 16:35:34,2012-01-01 08:39:22,False,2012-01-02 16:35:34
88,1304364,closed,"[Label(name=""bug""), Label(name=""3.x"")]",[],1,2011-08-02 16:00:53,2011-07-28 17:23:29,False,2011-08-02 16:00:53
89,1114786,closed,"[Label(name=""bug"")]",[],0,2011-11-24 20:37:58,2011-06-25 14:55:52,False,2011-11-24 20:37:58
90,1096381,closed,"[Label(name=""bug"")]",[],11,2011-06-22 20:54:18,2011-06-22 05:46:36,False,2011-06-22 20:54:18
91,816384,closed,"[Label(name=""bug"")]",[],12,2012-06-17 02:37:24,2011-04-26 20:09:16,False,2014-07-29 04:18:19
92,798136,closed,"[Label(name=""bug"")]",[],4,2011-04-25 16:25:37,2011-04-21 09:55:01,False,2014-07-29 04:18:19
93,789643,closed,"[Label(name=""bug"")]",[],0,2011-04-19 17:23:26,2011-04-19 17:15:09,False,2011-04-19 17:23:26
